,Age,Country,EdLevel,YearsCodePro,RemoteWork,Salary
2,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Master’s degree,5.0,Hybrid,40205.0
3,35-44 years old,Israel,Bachelor’s degree,17.0,Remote,215232.0
8,25-34 years old,Netherlands,Master’s degree,6.0,Hybrid,49056.0
10,18-24 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,2.0,Hybrid,60307.0
12,25-34 years old,United States of America,Bachelor’s degree,5.0,Hybrid,65000.0
16,25-34 years old,Czech Republic,Bachelor’s degree,4.0,Hybrid,19224.0
17,25-34 years old,Austria,Master’s degree,10.0,Remote,202623.0
18,Over 45,Austria,Less than a Bachelors,22.0,Hybrid,51192.0
21,25-34 years old,Italy,Master’s degree,4.0,Hybrid,34126.0
22,35-44 years old,Canada,Less than a Bachelors,20.0,Remote,97605.0
25,25-34 years old,Germany,Master’s degree,9.0,Hybrid,90647.0
26,25-34 years old,United States of America,Bachelor’s degree,5.0,Hybrid,106960.0
28,35-44 years old,United States of America,Master’s degree,14.0,Hybrid,130000.0
31,Over 45,United States of America,Bachelor’s degree,21.0,Remote,102000.0
40,35-44 years old,United States of America,Less than a Bachelors,15.0,Hybrid,130000.0
41,18-24 years old,Israel,Less than a Bachelors,3.0,Hybrid,68160.0
47,25-34 years old,United States of America,Bachelor’s degree,5.0,Remote,135000.0
48,Over 45,Germany,Less than a Bachelors,25.0,Hybrid,106644.0
49,25-34 years old,Germany,Less than a Bachelors,4.0,Remote,51192.0
51,25-34 years old,Poland,Bachelor’s degree,3.0,Hybrid,38856.0
53,25-34 years old,United States of America,Bachelor’s degree,10.0,Remote,170000.0
54,25-34 years old,Norway,Bachelor’s degree,7.0,Hybrid,103705.0
55,25-34 years old,United States of America,Master’s degree,5.0,Remote,141000.0
57,25-34 years old,Netherlands,Bachelor’s degree,8.0,Hybrid,46704.0
59,25-34 years old,Germany,Bachelor’s degree,2.0,Hybrid,63986.0
60,25-34 years old,Canada,Bachelor’s degree,4.0,Remote,66372.0
62,35-44 years old,France,Post grad,14.0,Hybrid,74651.0
63,35-44 years old,United States of America,Bachelor’s degree,12.0,Remote,150000.0
66,Over 45,Brazil,Master’s degree,20.0,Person,24924.0
73,18-24 years old,Germany,Bachelor’s degree,2.0,Hybrid,63986.0
74,35-44 years old,Sweden,Bachelor’s degree,6.0,Person,50220.0
76,35-44 years old,United States of America,Master’s degree,20.0,Remote,160000.0
79,25-34 years old,France,Master’s degree,10.0,Hybrid,87448.0
84,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,7.0,Remote,69102.0
85,25-34 years old,United States of America,Bachelor’s degree,7.0,Hybrid,95000.0
87,25-34 years old,Spain,Bachelor’s degree,8.0,Remote,95979.0
88,35-44 years old,Germany,Master’s degree,6.0,Hybrid,71451.0
89,25-34 years old,Sweden,Bachelor’s degree,5.0,Person,57288.0
90,25-34 years old,France,Master’s degree,5.0,Remote,63986.0
91,35-44 years old,France,Master’s degree,19.0,Hybrid,63986.0
93,25-34 years old,United States of America,Master’s degree,5.0,Remote,166000.0
94,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Post grad,3.0,Hybrid,52769.0
95,25-34 years old,United States of America,Bachelor’s degree,4.0,Remote,92000.0
96,35-44 years old,Israel,Bachelor’s degree,6.0,Hybrid,143484.0
99,25-34 years old,Turkey,Less than a Bachelors,7.0,Person,12024.0
102,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,4.0,Remote,47743.0
103,35-44 years old,United States of America,Master’s degree,17.0,Hybrid,200000.0
105,25-34 years old,Italy,Bachelor’s degree,5.0,Remote,93420.0
107,25-34 years old,United States of America,Less than a Bachelors,5.0,Person,35000.0
108,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,7.0,Hybrid,75384.0
109,25-34 years old,Spain,Less than a Bachelors,8.0,Remote,44790.0
111,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,10.0,Hybrid,78525.0
112,35-44 years old,Poland,Master’s degree,20.0,Remote,76313.0
115,18-24 years old,United States of America,Bachelor’s degree,3.0,Hybrid,110000.0
120,25-34 years old,Canada,Bachelor’s degree,4.0,Remote,66372.0
121,25-34 years old,Sweden,Master’s degree,4.0,Remote,81672.0
123,25-34 years old,Italy,Less than a Bachelors,12.0,Person,21120.0
126,25-34 years old,Canada,Bachelor’s degree,5.0,Remote,78084.0
132,25-34 years old,United States of America,Bachelor’s degree,5.0,Remote,98000.0
133,Over 45,United States of America,Bachelor’s degree,24.0,Remote,144000.0
135,35-44 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,20.0,Hybrid,123127.0
138,25-34 years old,Israel,Bachelor’s degree,10.0,Hybrid,197292.0
144,18-24 years old,Canada,Bachelor’s degree,1.0,Person,35138.0
145,35-44 years old,United Kingdom of Great Britain and Northern Ireland,Master’s degree,11.0,Remote,80409.0
151,25-34 years old,India,Bachelor’s degree,12.0,Person,15480.0
153,25-34 years old,United States of America,Master’s degree,11.0,Hybrid,200000.0
155,18-24 years old,United States of America,Bachelor’s degree,1.0,Hybrid,132000.0
156,25-34 years old,Belgium,Bachelor’s degree,9.0,Hybrid,63984.0
158,25-34 years old,Germany,Post grad,7.0,Hybrid,92136.0
160,25-34 years old,Netherlands,Bachelor’s degree,3.0,Person,38388.0
161,Over 45,Germany,Bachelor’s degree,23.0,Hybrid,165298.0
164,35-44 years old,United States of America,Bachelor’s degree,15.0,Remote,136000.0
167,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Master’s degree,5.0,Remote,54025.0
171,18-24 years old,United States of America,Bachelor’s degree,0.5,Hybrid,130000.0
172,35-44 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,18.0,Hybrid,136947.0
178,25-34 years old,Poland,Less than a Bachelors,6.0,Hybrid,41625.0
182,Over 45,United States of America,Master’s degree,15.0,Remote,200000.0
183,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Master’s degree,7.0,Remote,118729.0
192,18-24 years old,United States of America,Bachelor’s degree,3.0,Remote,110000.0
